#logMsmin    logMsmax    logSFRmin    logSFRmax    Prob
7.75  8.0  -4.409090909090909  -4.045454545454545  0.002640292108905168
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
7.75  8.0  -4.409090909090909  -4.045454545454545  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.00033118355994797837
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0002675051088748574
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0005436304447508796
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.00124409340655521
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.007204285198263832
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.013102188898093068
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.007648643996581943
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0011865325359345287
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.0  8.25  -4.045454545454545  -3.6818181818181817  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.000660420617024726
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0014598771534230783
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.006714878762068665
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.016801934712625262
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.006667328477642885
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.00041460511157215426
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.25  8.5  -3.6818181818181817  -3.3181818181818183  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0005917368728541544
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.002321343709862068
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.011435982440319528
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.03043134781698313
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0034294599872698715
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
