#logMs[Msol]    logSFR[Msol/yr]   dn/dlogMs/dlogSFR
logMs	 logSFR	 F
7.166666666666666	-5.233333333333333	0.0
7.166666666666666	-4.7	0.0
7.166666666666666	-4.166666666666667	0.0068400000000000075
7.166666666666666	-3.6333333333333333	0.01008000000000001
7.166666666666666	-3.1	0.01908000000000002
7.166666666666666	-2.5666666666666664	0.04464000000000005
7.166666666666666	-2.033333333333333	0.06012000000000007
7.166666666666666	-1.5	0.028080000000000032
7.166666666666666	-0.9666666666666668	0.0036000000000000042
7.166666666666666	-0.43333333333333357	0.0
7.166666666666666	0.09999999999999964	0.0003600000000000004
7.166666666666666	0.6333333333333333	0.0
7.166666666666666	1.166666666666667	0.0
7.166666666666666	1.7000000000000002	0.0
7.166666666666666	2.2333333333333334	0.0
7.5	-5.233333333333333	0.0
7.5	-4.7	0.0
7.5	-4.166666666666667	0.0014400000000000016
7.5	-3.6333333333333333	0.004680000000000005
7.5	-3.1	0.0072000000000000085
7.5	-2.5666666666666664	0.019440000000000023
7.5	-2.033333333333333	0.042480000000000046
7.5	-1.5	0.039960000000000044
7.5	-0.9666666666666668	0.012240000000000013
7.5	-0.43333333333333357	0.0003600000000000004
7.5	0.09999999999999964	0.0
7.5	0.6333333333333333	0.0
7.5	1.166666666666667	0.0
7.5	1.7000000000000002	0.0
7.5	2.2333333333333334	0.0
7.833333333333334	-5.233333333333333	0.0
7.833333333333334	-4.7	0.0
7.833333333333334	-4.166666666666667	0.0003600000000000004
7.833333333333334	-3.6333333333333333	0.0
7.833333333333334	-3.1	0.0032400000000000037
7.833333333333334	-2.5666666666666664	0.0068400000000000075
7.833333333333334	-2.033333333333333	0.015480000000000018
7.833333333333334	-1.5	0.047880000000000054
7.833333333333334	-0.9666666666666668	0.02484000000000003
7.833333333333334	-0.43333333333333357	0.0010800000000000013
7.833333333333334	0.09999999999999964	0.0
7.833333333333334	0.6333333333333333	0.0
7.833333333333334	1.166666666666667	0.0
7.833333333333334	1.7000000000000002	0.0
7.833333333333334	2.2333333333333334	0.0
8.166666666666668	-5.233333333333333	0.0
8.166666666666668	-4.7	0.0
8.166666666666668	-4.166666666666667	0.0
8.166666666666668	-3.6333333333333333	0.0
8.166666666666668	-3.1	0.0003600000000000004
8.166666666666668	-2.5666666666666664	0.0025200000000000027
8.166666666666668	-2.033333333333333	0.0018000000000000021
8.166666666666668	-1.5	0.014400000000000017
8.166666666666668	-0.9666666666666668	0.03528000000000004
